2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.plugins.gradle loaded 77 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - XPathView loaded 64 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - Subversion loaded 61 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - com.intellij.properties loaded 48 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - hg4idea loaded 46 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - DevKit loaded 41 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.settingsRepository loaded 37 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - Coverage loaded 33 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - AntSupport loaded 29 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.plugins.github loaded 23 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.plugins.javaFX loaded 22 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - testdoxon.TestDoxon loaded 15 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.plugins.yaml loaded 15 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - JUnit loaded 14 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - TestNG-J loaded 13 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.plugins.terminal loaded 9 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - org.editorconfig.editorconfigjetbrains loaded 9 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.java.decompiler loaded 7 classes 
2018-06-28 12:35:15,681 [  51880]   INFO - llij.ide.plugins.PluginManager - org.intellij.intelliLang loaded 6 classes 
2018-06-28 12:35:15,682 [  51881]   INFO - llij.ide.plugins.PluginManager - com.intellij.copyright loaded 6 classes 
2018-06-28 12:35:15,682 [  51881]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.idea.eclipse loaded 5 classes 
2018-06-28 12:35:15,682 [  51881]   INFO - llij.ide.plugins.PluginManager - com.android.tools.idea.smali loaded 5 classes 
2018-06-28 12:35:15,682 [  51881]   INFO - llij.ide.plugins.PluginManager - com.intellij.java-i18n loaded 4 classes 
2018-06-28 12:35:15,682 [  51881]   INFO - llij.ide.plugins.PluginManager - ByteCodeViewer loaded 2 classes 
2018-06-28 12:35:15,682 [  51881]   INFO - llij.ide.plugins.PluginManager - XSLT-Debugger loaded 2 classes 
2018-06-28 12:35:15,831 [  52030]   INFO - .diagnostic.PerformanceWatcher - Indexable file iteration took 163ms; general responsiveness: ok; EDT responsiveness: ok 
2018-06-28 12:35:15,834 [  52033]   INFO - indexing.UnindexedFilesUpdater - Unindexed files update started: 219 files to update 
